,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,mood
0,0.0382,0.783,199695,0.938,0.464,6,0.0545,-5.791,1,0.17,129.996,4,0.918,happy
1,0.143,0.868,221905,0.747,0.334,11,0.0838,-9.132,0,0.0529,125.999,4,0.879,happy
2,0.235,0.682,366377,0.63,0.613,6,0.101,-8.86,0,0.112,127.373,4,0.281,happy
3,0.265,0.693,177500,0.767,0.0129,11,0.114,-7.853,0,0.434,126.995,4,0.782,happy
4,0.978,0.379,187769,0.0462,0.000931,0,0.0912,-14.719,1,0.0445,80.641,3,0.147,happy
5,0.0751,0.818,207735,0.715,1.86e-05,11,0.177,-6.454,1,0.0777,126.986,4,0.557,happy
6,0.043,0.828,191772,0.925,0.00626,1,0.0689,-6.442,1,0.255,126.498,4,0.723,happy
7,0.822,0.331,267130,0.609,0.541,11,0.292,-10.661,1,0.122,114.117,4,0.164,happy
8,0.0154,0.811,251905,0.749,0.886,3,0.133,-9.051,1,0.0636,125.995,4,0.542,happy
9,0.0736,0.769,185821,0.838,0.414,6,0.683,-8.104,0,0.0939,134.021,4,0.387,happy
10,0.0324,0.777,116465,0.816,7.94e-05,2,0.138,-7.01,0,0.189,150.09,4,0.516,happy
11,0.0267,0.813,229760,0.827,0.027,0,0.0213,-5.338,0,0.169,126.86,4,0.98,happy
12,0.783,0.213,255667,0.194,0.661,10,0.647,-15.187,1,0.037,114.35,4,0.102,happy
13,0.972,0.0,63800,0.017,0.854,6,0.0752,-33.687,0,0.0,0.0,0,0.0,happy
14,0.000694,0.775,390244,0.635,0.166,6,0.0996,-7.912,1,0.0786,122.985,4,0.785,happy
15,0.0011,0.747,318000,0.845,0.862,5,0.345,-9.832,0,0.0595,120.847,4,0.411,happy
16,0.0162,0.793,323210,0.826,5.25e-05,6,0.019,-8.446,0,0.0616,121.07,4,0.775,happy
17,0.0112,0.742,164022,0.614,1.69e-05,9,0.0752,-4.579,1,0.0701,117.002,4,0.496,happy
18,0.749,0.701,195107,0.454,0.182,1,0.0981,-9.812,0,0.0552,78.011,4,0.713,happy
19,0.341,0.631,246587,0.564,0.317,1,0.109,-7.982,0,0.0477,72.976,4,0.359,happy
20,0.61,0.689,173234,0.379,5.39e-05,6,0.134,-11.29,0,0.061,93.935,4,0.511,happy
21,0.811,0.314,182467,0.224,0.596,5,0.366,-11.627,1,0.0291,137.617,4,0.299,happy
22,0.733,0.163,324356,0.201,0.924,7,0.176,-17.311,1,0.0355,110.177,3,0.0386,happy
23,0.992,0.264,155080,0.0426,0.946,6,0.149,-25.6,1,0.0489,68.848,3,0.0394,happy
24,0.984,0.232,140320,0.0292,0.893,0,0.0483,-27.894,1,0.0537,71.355,4,0.0661,happy
25,0.851,0.0716,349760,0.0408,0.901,7,0.0844,-28.284,1,0.0399,77.047,4,0.0377,happy
26,0.461,0.573,142787,0.683,0.0,5,0.0935,-6.644,1,0.176,169.519,4,0.817,happy
27,0.0174,0.447,220500,0.973,0.921,0,0.205,-6.936,0,0.043,134.99,4,0.812,happy
28,0.957,0.0791,578173,0.0636,0.746,7,0.141,-18.822,1,0.0421,174.057,4,0.0315,happy
29,0.977,0.063,541800,0.0233,0.921,6,0.18,-27.782,0,0.042,68.444,4,0.0334,happy
30,0.969,0.101,124920,0.0893,0.758,2,0.115,-22.445,1,0.0378,76.272,3,0.0979,happy
31,0.137,0.869,158948,0.555,0.0,5,0.0746,-5.984,1,0.0454,112.003,4,0.738,happy
32,0.749,0.701,195107,0.454,0.182,1,0.0981,-9.812,0,0.0552,78.011,4,0.713,happy
33,0.392,0.78,180647,0.641,0.0346,6,0.114,-6.262,1,0.0288,113.553,4,0.672,happy
34,0.0589,0.655,349565,0.658,0.118,11,0.0839,-8.313,0,0.038,92.005,4,0.649,happy
35,0.00297,0.785,157426,0.698,0.364,5,0.0579,-5.969,0,0.0571,143.043,4,0.651,happy
36,0.000855,0.723,96396,0.773,0.464,3,0.102,-7.897,1,0.312,121.178,4,0.337,happy
37,0.134,0.851,141120,0.728,0.234,6,0.174,-10.996,0,0.135,124.986,4,0.485,happy
38,0.00156,0.664,222891,0.596,0.0499,5,0.124,-8.284,0,0.0733,95.003,4,0.179,happy
39,0.932,0.346,75107,0.0578,0.928,3,0.211,-22.644,1,0.0352,97.259,3,0.422,happy
40,0.993,0.235,81893,0.00858,0.901,10,0.0947,-35.138,0,0.0356,77.518,3,0.0526,happy
41,0.376,0.753,122932,0.742,0.447,1,0.0948,-6.695,0,0.0322,132.93,4,0.97,happy
42,0.981,0.173,111093,0.0446,0.953,9,0.0764,-29.184,0,0.0408,69.777,3,0.0471,happy
43,0.97,0.176,132120,0.0534,0.915,10,0.29,-27.626,1,0.0406,71.673,5,0.0332,happy
44,0.996,0.427,83227,0.0204,0.938,3,0.274,-31.351,1,0.0405,111.242,1,0.346,happy
45,0.934,0.441,65800,0.077,0.918,4,0.0922,-23.197,0,0.0458,140.461,4,0.479,happy
46,0.308,0.818,209107,0.399,0.00253,1,0.18,-9.927,0,0.111,73.765,4,0.838,happy
47,0.337,0.385,212533,0.698,0.0,5,0.126,-5.772,1,0.0314,78.528,4,0.28,happy
48,0.0836,0.449,289813,0.908,0.0,8,0.0965,-6.134,1,0.0868,139.079,4,0.508,happy
49,0.828,0.64,205414,0.183,0.682,1,0.134,-20.066,1,0.0429,69.798,4,0.213,happy
50,0.631,0.632,125421,0.629,0.188,9,0.0902,-9.499,1,0.129,159.983,4,0.424,happy
51,0.399,0.616,236250,0.616,0.727,8,0.0974,-8.367,0,0.0372,90.016,4,0.879,happy
52,0.00737,0.69,269404,0.843,0.111,6,0.0881,-8.242,0,0.0334,109.985,4,0.69,happy
53,0.63,0.472,205000,0.787,0.228,2,0.315,-6.18,1,0.248,163.156,4,0.562,happy
54,0.17,0.588,207210,0.902,0.447,11,0.332,-4.88,1,0.0459,137.947,4,0.665,happy
55,0.259,0.802,237822,0.786,0.00226,11,0.124,-5.134,0,0.0335,118.022,4,0.851,happy
56,0.892,0.302,185683,0.411,0.831,8,0.135,-13.014,1,0.0362,183.233,4,0.186,happy
57,0.384,0.74,159865,0.813,0.374,11,0.108,-8.258,0,0.0493,104.993,4,0.515,happy
58,0.479,0.722,202121,0.744,0.000236,1,0.512,-5.523,1,0.0452,99.016,4,0.375,happy
59,0.17,0.588,207210,0.902,0.447,11,0.332,-4.88,1,0.0459,137.947,4,0.665,happy
60,0.812,0.617,147828,0.285,0.0,9,0.069,-13.657,1,0.053,108.512,4,0.626,happy
61,0.0109,0.751,177049,0.864,0.827,1,0.372,-7.215,1,0.0514,122.034,4,0.852,happy
62,0.268,0.782,224889,0.921,0.548,0,0.0976,-5.131,1,0.0449,135.026,4,0.947,happy
63,0.211,0.729,169927,0.907,0.924,11,0.11,-4.986,0,0.0566,137.009,4,0.887,happy
64,0.206,0.758,102813,0.752,0.87,10,0.683,-5.838,0,0.149,100.048,4,0.643,happy
65,0.356,0.754,277387,0.657,0.187,4,0.0818,-9.221,0,0.0377,124.992,4,0.901,happy
66,0.747,0.758,267707,0.564,0.708,0,0.222,-9.757,1,0.277,105.18,4,0.421,happy
67,0.4,0.713,138007,0.331,0.872,10,0.0949,-10.218,0,0.0777,91.999,4,0.655,happy
68,0.974,0.889,122216,0.0849,0.725,4,0.0961,-21.957,1,0.0762,115.051,3,0.176,happy
69,0.901,0.515,158360,0.15,0.822,10,0.124,-17.94,0,0.0274,99.758,4,0.634,happy
70,0.2,0.334,222920,0.506,0.862,1,0.228,-8.779,1,0.0281,83.803,4,0.183,happy
71,0.769,0.562,161160,0.369,0.000905,2,0.207,-12.296,1,0.143,82.177,4,0.368,happy
72,0.549,0.735,206973,0.276,0.000201,0,0.1,-18.071,1,0.044,142.979,3,0.966,happy
73,0.0203,0.488,206354,0.763,0.37,1,0.343,-5.331,0,0.03,155.663,4,0.716,happy
74,0.272,0.47,363240,0.809,0.00671,8,0.0491,-6.74,1,0.0495,151.836,4,0.49,happy
75,0.0177,0.831,65085,0.727,0.869,0,0.0593,-9.468,0,0.222,118.009,4,0.423,happy
76,0.631,0.831,94977,0.359,0.926,0,0.0835,-10.814,1,0.0564,120.002,4,0.421,happy
77,0.218,0.247,82477,0.458,0.0933,4,0.203,-10.397,1,0.041,165.912,3,0.577,happy
78,0.256,0.668,205470,0.695,0.924,10,0.431,-7.36,1,0.0371,90.003,4,0.772,happy
79,0.159,0.668,130000,0.522,0.834,6,0.231,-11.718,0,0.0874,120.04,4,0.342,happy
80,0.291,0.419,291333,0.769,0.173,0,0.0912,-8.3,1,0.0937,150.386,4,0.881,happy
81,0.0806,0.644,310867,0.527,0.87,5,0.0839,-16.241,0,0.0389,95.987,4,0.78,happy
82,0.163,0.643,183125,0.51,0.56,11,0.422,-9.819,0,0.0849,119.801,4,0.818,happy
83,0.127,0.826,213875,0.506,0.146,1,0.0404,-10.47,0,0.0374,120.034,4,0.628,happy
84,0.0267,0.737,198813,0.734,0.812,1,0.294,-7.97,0,0.0409,98.982,4,0.683,happy
85,0.313,0.795,102578,0.631,0.00061,7,0.479,-8.533,1,0.264,112.135,4,0.585,happy
86,0.115,0.719,162000,0.688,0.0134,9,0.18,-7.487,1,0.389,109.946,4,0.717,happy
87,0.328,0.661,186389,0.625,0.0157,0,0.181,-8.741,1,0.0318,120.035,4,0.784,happy
88,0.11,0.779,150546,0.588,0.0,5,0.103,-7.562,0,0.189,109.98,4,0.554,happy
89,0.113,0.924,205210,0.569,6.4e-05,6,0.0288,-5.178,0,0.0608,118.983,4,0.928,happy
90,0.297,0.706,197895,0.541,0.00612,8,0.253,-8.089,0,0.0531,114.009,4,0.529,happy
91,0.0936,0.761,239354,0.56,0.0331,5,0.0773,-6.606,0,0.0422,114.041,4,0.214,happy
92,0.501,0.746,182456,0.643,0.049,7,0.122,-9.338,1,0.2,108.147,4,0.596,happy
93,0.705,0.834,242655,0.468,0.0307,3,0.114,-10.39,0,0.24,112.964,4,0.493,happy
94,0.436,0.801,172200,0.568,5.95e-05,4,0.128,-9.181,0,0.305,101.964,4,0.607,happy
95,0.282,0.731,207130,0.665,4.67e-06,7,0.11,-6.748,1,0.138,115.015,4,0.476,happy
96,0.0534,0.781,149508,0.622,0.107,1,0.0936,-7.575,0,0.141,118.058,4,0.704,happy
